date,close,ema_20,ema_50,ema_200,bull_regime,bear_regime,neutral_regime,regime
2025-01-31,23508.400390625,23324.7628389686,23692.37153946886,,False,False,True,NEUTRAL
2025-02-01,23482.150390625,23339.75212960254,23684.127572847534,,False,False,True,NEUTRAL
2025-02-03,23361.05078125,23341.780572616586,23671.45789474567,,False,False,True,NEUTRAL
2025-02-04,23739.25,23379.63480379596,23674.11640867721,,False,False,True,NEUTRAL
2025-02-05,23696.30078125,23409.79346831539,23674.986384072225,,False,False,True,NEUTRAL
2025-02-06,23603.349609375,23428.227386511542,23672.177098789984,,False,False,True,NEUTRAL
2025-02-07,23559.94921875,23440.772322915203,23667.77600545508,,False,False,True,NEUTRAL
2025-02-10,23381.599609375,23435.136826387567,23656.553401687237,,False,False,True,NEUTRAL
2025-02-11,23071.80078125,23400.533393517326,23633.621926375974,,False,False,True,NEUTRAL
2025-02-12,23045.25,23366.69687984901,23610.548517498486,,False,False,True,NEUTRAL
2025-02-13,23031.400390625,23334.763880875296,23587.83682624855,,False,False,True,NEUTRAL
2025-02-14,22929.25,23296.143511268125,23562.00989188586,,False,False,True,NEUTRAL
2025-02-17,22959.5,23264.082224480684,23538.382052988378,,False,False,True,NEUTRAL
2025-02-18,22945.30078125,23233.722087030143,23515.1239639006,,False,False,True,NEUTRAL
2025-02-19,22932.900390625,23205.072401658224,23492.2916669094,,False,False,True,NEUTRAL
2025-02-20,22913.150390625,23177.270305369344,23469.580244310015,,False,False,True,NEUTRAL
2025-02-21,22795.900390625,23140.949361107978,23443.161426518447,,False,False,True,NEUTRAL
2025-02-24,22553.349609375,23084.987479990552,23408.266845453996,,False,False,True,NEUTRAL
2025-02-25,22547.55078125,23033.803032491454,23374.51327430874,,False,False,True,NEUTRAL
2025-02-27,22545.05078125,22987.25519903989,23341.98533340448,,False,False,True,NEUTRAL
2025-02-28,22124.69921875,22905.107010440854,23294.248623025873,,False,False,True,NEUTRAL
2025-03-03,22119.30078125,22830.26832194649,23248.17223707388,,False,False,True,NEUTRAL
2025-03-04,22082.650390625,22759.066614201583,23202.46549799745,,False,False,True,NEUTRAL
