symbol,CURRENT_trades,CURRENT_total_net_pct,CURRENT_avg_net_pct,CURRENT_median_net_pct,CURRENT_wins,CURRENT_losses,CURRENT_win_rate_pct,LONG_RSI_ZONE_trades,LONG_RSI_ZONE_total_net_pct,LONG_RSI_ZONE_avg_net_pct,LONG_RSI_ZONE_median_net_pct,LONG_RSI_ZONE_wins,LONG_RSI_ZONE_losses,LONG_RSI_ZONE_win_rate_pct,avg_net_delta_pct,total_net_delta_pct,win_rate_delta_pct,trade_count_delta,classification,rank
HDFCBANK,5,14.769840329004177,2.9539680658008356,3.0599434025379835,5,0,100.0,5,14.769840329004177,2.9539680658008356,3.0599434025379835,5,0,100.0,0.0,0.0,0.0,0,SIMILAR,39
HFCL,5,-5.750000000000005,-1.150000000000001,-2.65,1,4,20.0,5,-5.750000000000005,-1.150000000000001,-2.65,1,4,20.0,0.0,0.0,0.0,0,SIMILAR,40
IDFCFIRSTB,7,-3.549999999999987,-0.5071428571428552,-2.64999999999999,2,5,28.57142857142857,7,-3.549999999999987,-0.5071428571428552,-2.64999999999999,2,5,28.57142857142857,0.0,0.0,0.0,0,SIMILAR,41
NORTHARC,2,-5.299999999999995,-2.6499999999999977,-2.6499999999999977,0,2,0.0,2,-5.299999999999995,-2.6499999999999977,-2.6499999999999977,0,2,0.0,0.0,0.0,0.0,0,SIMILAR,42
PINELABS,5,9.25000000000003,1.850000000000006,4.85,3,2,60.0,5,9.25000000000003,1.850000000000006,4.85,3,2,60.0,0.0,0.0,0.0,0,SIMILAR,43
LICI,5,1.7500000000000155,0.3500000000000031,-2.649999999999987,2,3,40.0,5,1.7500000000000155,0.3500000000000031,-2.649999999999987,2,3,40.0,0.0,0.0,0.0,0,SIMILAR,44
MAHABANK,7,-11.049999999999981,-1.5785714285714258,-2.65,1,6,14.285714285714285,7,-11.049999999999981,-1.5785714285714258,-2.65,1,6,14.285714285714285,0.0,0.0,0.0,0,SIMILAR,45
LENSKART,2,2.1999999999999953,1.0999999999999976,1.0999999999999976,1,1,50.0,2,2.1999999999999953,1.0999999999999976,1.0999999999999976,1,1,50.0,0.0,0.0,0.0,0,SIMILAR,46
VMM,6,29.100000000000037,4.850000000000006,4.850000000000006,6,0,100.0,6,29.100000000000037,4.850000000000006,4.850000000000006,6,0,100.0,0.0,0.0,0.0,0,SIMILAR,47
VEDL,12,-9.299999999999924,-0.7749999999999937,-2.6499999999999915,3,9,25.0,12,-9.299999999999924,-0.7749999999999937,-2.6499999999999915,3,9,25.0,0.0,0.0,0.0,0,SIMILAR,48
