exchange,instrument_type,symbol,name,isin,security_id,series,data_symbol,scan_status,signal,signal_date,entry,stop_loss,target,risk,reward,risk_reward,rsi,ema_5,ema_13,ema_26,macd,macd_signal,volume_ratio,scan_error
NSE,STOCK,WOCKPHARMA,Wockhardt Limited,INE049B01025,,EQ,WOCKPHARMA.NS,SIGNAL,LONG,2026-09-04 00:00:00,2088.699951171875,2036.4824523925781,2193.1349487304688,52.217498779296875,104.43499755859375,2.0,64.20101560359572,1973.1244781438154,1933.9806526721516,1922.9586095713503,13.191022669168206,-1.4415267367281066,4.179363274437566,
NSE,STOCK,XPROINDIA,Xpro India Limited,INE445C01015,,EQ,XPROINDIA.NS,NO_SIGNAL,NO_SIGNAL,,,,,,,,63.80868796455602,1255.7143311375035,1204.7221346658146,1206.1487540724727,1.2567517130373744,-27.139195962654853,0.9566679042011922,
NSE,STOCK,ZEEL,Zee Entertainment Enterprises Limited,INE256A01028,,EQ,ZEEL.NS,NO_SIGNAL,NO_SIGNAL,,,,,,,,36.62259330822048,93.33693424066016,97.1848613557286,99.5416277565174,-2.6595730371018504,-1.3668238665425827,0.3770526071237642,
NSE,STOCK,YATHARTH,Yatharth Hospital & Trauma Care Services Limited,INE0JO301016,,EQ,YATHARTH.NS,NO_SIGNAL,NO_SIGNAL,,,,,,,,69.50624408857618,974.068009497073,945.1073954361744,912.8821676610826,35.655873582286176,28.094027591503032,0.5851463312868809,
NSE,STOCK,ZENSARTECH,Zensar Technologies Limited,INE520A01027,,EQ,ZENSARTECH.NS,NO_SIGNAL,NO_SIGNAL,,,,,,,,40.40809615345898,464.66040217391924,471.59935673540366,479.81989995769476,-9.111688212469062,-7.3939186081263575,0.7436241462841202,
NSE,STOCK,YATRA,Yatra Online Limited,INE0JR601024,,EQ,YATRA.NS,NO_SIGNAL,NO_SIGNAL,,,,,,,,52.13103111510874,112.4276993251203,112.29786783301248,111.80644137446927,0.5030193439736763,0.7322453330058718,0.3323849605209844,
NSE,STOCK,ZUARIIND,ZUARI INDUSTRIES LIMITED,INE217A01012,,EQ,ZUARIIND.NS,NO_SIGNAL,NO_SIGNAL,,,,,,,,54.70468223070968,272.24105310417235,271.4831225588457,268.6489534844671,3.055067423969092,3.3298248084597946,0.2763161372641838,
NSE,STOCK,ZENTEC,Zen Technologies Limited,INE251B01027,,EQ,ZENTEC.NS,NO_SIGNAL,NO_SIGNAL,,,,,,,,47.64935895212199,1810.6616617067828,1825.416332227327,1818.8074687349579,6.2048608704440085,17.021712523243586,0.32506109797532234,
NSE,STOCK,ZYDUSLIFE,Zydus Lifesciences Limited,INE010B01027,,EQ,ZYDUSLIFE.NS,NO_SIGNAL,NO_SIGNAL,,,,,,,,50.34965535370159,1154.8909287115057,1149.5290602295606,1142.0232452065977,8.274039455981438,6.750600996184145,0.5415678069379969,
NSE,STOCK,ZOTA,Zota Health Care LImited,INE358U01012,,EQ,ZOTA.NS,NO_SIGNAL,NO_SIGNAL,,,,,,,,41.589961082350776,1077.3214335550824,1096.557484050683,1145.355447169251,-52.546727341088854,-55.64486407010322,0.3901725882888943,
NSE,STOCK,ZYDUSWELL,Zydus Wellness Limited,INE768C01028,,EQ,ZYDUSWELL.NS,NO_SIGNAL,NO_SIGNAL,,,,,,,,51.127814677459014,532.188213674563,527.0238544242774,529.0640967288617,-1.7748800469880734,-5.990739689164117,0.87514637201106,
BSE,STOCK,AASTHA,Aastha Spintex,,544808.0,B,AASTHA.BO,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,INSUFFICIENT_DATA_ROWS_44
NSE,STOCK,ZIMLAB,Zim Laboratories Limited,INE518E01015,,EQ,ZIMLAB.NS,NO_SIGNAL,NO_SIGNAL,,,,,,,,58.48924127461063,126.63734252098183,123.37177973763357,120.49151483531725,3.228000024129969,2.189034586577102,1.3778122929358958,
