exchange,instrument_type,symbol,name,isin,security_id,series,data_symbol
NSE,STOCK,AUGMONT,Augmont Enterprises Limited,INE16W401027,,EQ,AUGMONT.NS
NSE,STOCK,AURIONPRO,Aurionpro Solutions Limited,INE132H01018,,EQ,AURIONPRO.NS
NSE,STOCK,AUROPHARMA,Aurobindo Pharma Limited,INE406A01037,,EQ,AUROPHARMA.NS
NSE,STOCK,AURUM,Aurum PropTech Limited,INE898S01029,,EQ,AURUM.NS
NSE,STOCK,AURUS,AURUS GEM CORPORATION LIMITED,INE142K01011,,EQ,AURUS.NS
NSE,STOCK,AUSOMENT,Ausom Enterprise Limited,INE218C01016,,EQ,AUSOMENT.NS
NSE,STOCK,AUSTENG,Austin Engineering Company  Limited,INE759F01012,,EQ,AUSTENG.NS
NSE,STOCK,AUTOAXLES,Automotive Axles Limited,INE449A01011,,EQ,AUTOAXLES.NS
NSE,STOCK,AUTOIND,Autoline Industries Limited,INE718H01014,,EQ,AUTOIND.NS
NSE,STOCK,AVADHSUGAR,Avadh Sugar & Energy Limited,INE349W01017,,EQ,AVADHSUGAR.NS
NSE,STOCK,AVALON,Avalon Technologies Limited,INE0LCL01028,,EQ,AVALON.NS
NSE,STOCK,AVANCE,Avance Technologies Limited,INE758A01072,,EQ,AVANCE.NS
NSE,STOCK,AVANTEL,Avantel Limited,INE005B01027,,EQ,AVANTEL.NS
NSE,STOCK,AVANTIFEED,Avanti Feeds Limited,INE871C01038,,EQ,AVANTIFEED.NS
NSE,STOCK,AVG,AVG Logistics Limited,INE680Z01018,,BE,AVG.NS
NSE,STOCK,AVL,Aditya Vision Limited,INE679V01027,,EQ,AVL.NS
NSE,STOCK,AVONMORE,Avonmore Capital & Management Services Limited,INE323B01024,,EQ,AVONMORE.NS
NSE,STOCK,AVROIND,AVRO INDIA LIMITED,INE652Z01025,,EQ,AVROIND.NS
NSE,STOCK,AVTNPL,AVT Natural Products Limited,INE488D01021,,EQ,AVTNPL.NS
NSE,STOCK,AWFIS,Awfis Space Solutions Limited,INE108V01019,,EQ,AWFIS.NS
NSE,STOCK,AWHCL,Antony Waste Handling Cell Limited,INE01BK01022,,EQ,AWHCL.NS
NSE,STOCK,AWL,AWL Agri Business Limited,INE699H01024,,EQ,AWL.NS
NSE,STOCK,AXISBANK,Axis Bank Limited,INE238A01034,,EQ,AXISBANK.NS
NSE,STOCK,AXISCADES,AXISCADES Technologies Limited,INE555B01013,,EQ,AXISCADES.NS
NSE,STOCK,AXITA,Axita Cotton Limited,INE02EZ01022,,EQ,AXITA.NS
NSE,STOCK,AXTEL,Axtel Industries Limited,INE767C01012,,EQ,AXTEL.NS
NSE,STOCK,AYE,Aye Finance Limited,INE501X01029,,EQ,AYE.NS
NSE,STOCK,AYMSYNTEX,AYM Syntex Limited,INE193B01039,,EQ,AYMSYNTEX.NS
NSE,STOCK,AZAD,Azad Engineering Limited,INE02IJ01035,,EQ,AZAD.NS
NSE,STOCK,AZADIND,Azad India Mobility Limited,INE566M01017,,EQ,AZADIND.NS
NSE,STOCK,BAFNAPH,Bafna Pharmaceuticals Limited,INE878I01022,,BE,BAFNAPH.NS
NSE,STOCK,BAGFILMS,B.A.G Films and Media Limited,INE116D01028,,EQ,BAGFILMS.NS
