exchange,instrument_type,symbol,name,isin,security_id,series,data_symbol,latest_close,avg_volume,liquidity_status,liquidity_reason
NSE,STOCK,FLUOROCHEM,Gujarat Fluorochemicals Limited,INE09N301011,,EQ,FLUOROCHEM.NS,4554.0,260258.05,PASS,PASS
NSE,STOCK,FMGOETZE,Federal-Mogul Goetze (India) Limited.,INE529A01010,,EQ,FMGOETZE.NS,501.4500122070313,3699285.6,PASS,PASS
NSE,STOCK,FMNL,Future Market Networks Limited,INE360L01017,,EQ,FMNL.NS,9.619999885559082,38735.25,FAIL,PRICE_TOO_LOW
NSE,STOCK,FOCUS,Focus Lighting and Fixtures Limited,INE593W01028,,BE,FOCUS.NS,63.900001525878906,41097.0,FAIL,VOLUME_TOO_LOW
NSE,STOCK,FOODSIN,Foods & Inns Limited,INE976E01023,,EQ,FOODSIN.NS,56.060001373291016,129802.5,PASS,PASS
NSE,STOCK,FORCEMOT,FORCE MOTORS LTD,INE451A01017,,EQ,FORCEMOT.NS,17500.0,74950.4,FAIL,VOLUME_TOO_LOW
NSE,STOCK,FORTIS,Fortis Healthcare Limited,INE061F01013,,EQ,FORTIS.NS,917.5,1508488.8,PASS,PASS
NSE,STOCK,FOSECOIND,Foseco India Limited,INE519A01011,,EQ,FOSECOIND.NS,6372.5,18672.2,FAIL,VOLUME_TOO_LOW
NSE,STOCK,FRACTAL,Fractal Analytics Limited,INE212S01015,,EQ,FRACTAL.NS,817.4000244140625,334689.25,PASS,PASS
NSE,STOCK,FREDUN,Fredun Pharmaceuticals Limited,INE194R01017,,EQ,FREDUN.NS,1488.300048828125,17780.923076923078,FAIL,VOLUME_TOO_LOW
NSE,STOCK,FRONTSP,Frontier Springs Limited,INE572D01014,,EQ,FRONTSP.NS,1269.800048828125,16637.615384615383,FAIL,VOLUME_TOO_LOW
NSE,STOCK,FSL,Firstsource Solutions Limited,INE684F01012,,EQ,FSL.NS,264.3999938964844,1124556.0,PASS,PASS
NSE,STOCK,FUSION,Fusion Finance Limited,INE139R01012,,EQ,FUSION.NS,199.72999572753903,786026.65,PASS,PASS
NSE,STOCK,GABRIEL,Gabriel India Limited,INE524A01029,,EQ,GABRIEL.NS,1353.199951171875,298072.55,PASS,PASS
NSE,STOCK,GAEL,Gujarat Ambuja Exports Limited,INE036B01030,,EQ,GAEL.NS,167.80999755859375,1127258.85,PASS,PASS
NSE,STOCK,GAIL,GAIL (India) Limited,INE129A01019,,EQ,GAIL.NS,173.39999389648438,7245477.2,PASS,PASS
NSE,STOCK,GAJA,Gaja Alternative Asset Management Limited,INE18UN01038,,EQ,GAJA.NS,157.6199951171875,12993773.714285715,PASS,PASS
NSE,STOCK,GALAPREC,Gala Precision Engineering Limited,INE0RE001014,,EQ,GALAPREC.NS,1026.199951171875,55005.8,FAIL,VOLUME_TOO_LOW
NSE,STOCK,GALAXYSURF,Galaxy Surfactants Limited,INE600K01018,,EQ,GALAXYSURF.NS,2251.60009765625,100163.95,PASS,PASS
NSE,STOCK,GALLANTT,Gallantt Ispat Limited,INE297H01019,,EQ,GALLANTT.NS,572.6500244140625,53049.9,FAIL,VOLUME_TOO_LOW
NSE,STOCK,GANDHAR,Gandhar Oil Refinery (India) Limited,INE717W01049,,EQ,GANDHAR.NS,267.3999938964844,1145307.5,PASS,PASS
NSE,STOCK,GANDHITUBE,Gandhi Special Tubes Limited,INE524B01027,,EQ,GANDHITUBE.NS,902.5499877929688,13043.5,FAIL,VOLUME_TOO_LOW
NSE,STOCK,GANECOS,Ganesha Ecosphere Limited,INE845D01014,,EQ,GANECOS.NS,1015.4000244140624,71646.35,FAIL,VOLUME_TOO_LOW
NSE,STOCK,GANESHBE,Ganesh Benzoplast Limited,INE388A01029,,BE,GANESHBE.NS,121.18000030517578,142668.4,PASS,PASS
NSE,STOCK,GANESHCP,Ganesh Consumer Products Limited,INE652V01016,,EQ,GANESHCP.NS,168.82000732421875,163348.9,PASS,PASS
NSE,STOCK,GANESHHOU,GANESH HOUSING LIMITED,INE460C01014,,EQ,GANESHHOU.NS,765.5,39088.9,FAIL,VOLUME_TOO_LOW
NSE,STOCK,GANGAFORGE,Ganga Forging Limited,INE691Z01023,,EQ,GANGAFORGE.NS,1.6799999475479126,9841218.15,FAIL,PRICE_TOO_LOW
NSE,STOCK,GANGESSECU,Ganges Securities Limited,INE335W01016,,EQ,GANGESSECU.NS,119.9000015258789,3144.25,FAIL,VOLUME_TOO_LOW
NSE,STOCK,GARFIBRES,Garware Technical Fibres Limited,INE276A01018,,EQ,GARFIBRES.NS,800.5499877929688,54951.7,FAIL,VOLUME_TOO_LOW
NSE,STOCK,GARUDA,Garuda Construction and Engineering Limited,INE0JVO01026,,EQ,GARUDA.NS,178.8800048828125,1164428.65,PASS,PASS
NSE,STOCK,GATECH,GACM Technologies Limited,INE224E01028,,BE,GATECH.NS,0.9100000262260436,44132689.15,FAIL,PRICE_TOO_LOW
NSE,STOCK,GATECHDVR,GACM Technologies Limited,INE224E01036,,BE,GATECHDVR.NS,0.5,677373.0,FAIL,PRICE_TOO_LOW
