exchange,instrument_type,symbol,name,isin,security_id,series,data_symbol,yahoo_symbol,validation_method,data_rows,last_date,validation_error
BSE,STOCK,AERONEU,Aeroflex Neu,,543743,B,AERONEU.BO,AERONEU.BO,data_symbol,250,2026-09-04,
BSE,STOCK,AEROPLANE,Amir Chand Jagdish Kumar (Exports),,544743,B,AEROPLANE.BO,AEROPLANE.BO,data_symbol,109,2026-09-04,
BSE,STOCK,AERPACE,Aerpace Industries,,534733,XT,AERPACE.BO,AERPACE.BO,data_symbol,250,2026-09-04,
BSE,STOCK,AETHER,Aether Industries,,543534,A,AETHER.BO,AETHER.BO,data_symbol,250,2026-09-04,
BSE,STOCK,AFCOM,Afcom Holdings,,544224,M,AFCOM.BO,AFCOM.BO,data_symbol,250,2026-09-04,
BSE,STOCK,AFCONS,Afcons Infrastructure,,544280,A,AFCONS.BO,AFCONS.BO,data_symbol,250,2026-09-04,
BSE,STOCK,AFEL,AF Enterprises,,538351,Z,AFEL.BO,AFEL.BO,data_symbol,250,2026-09-04,
BSE,STOCK,AFFLE,Affle 3i,,542752,A,AFFLE.BO,AFFLE.BO,data_symbol,250,2026-09-04,
BSE,STOCK,AFFORDABLE,Affordable Robotic & Automation,,541402,B,AFFORDABLE.BO,AFFORDABLE.BO,data_symbol,250,2026-09-04,
BSE,STOCK,AFIL,Akme Fintrade,,544200,B,AFIL.BO,AFIL.BO,data_symbol,250,2026-09-04,
BSE,STOCK,AFLTD,Autofurnish,,544767,M,AFLTD.BO,AFLTD.BO,data_symbol,70,2026-09-03,
BSE,STOCK,AFSL,Abans Financial Services,,543712,B,AFSL.BO,AFSL.BO,data_symbol,250,2026-09-04,
BSE,STOCK,AGARIND,Agarwal Industrial Corporation,,531921,B,AGARIND.BO,AGARIND.BO,data_symbol,250,2026-09-04,
BSE,STOCK,AGARWAL,Agarwal Fortune,,530765,X,AGARWAL.BO,AGARWAL.BO,data_symbol,249,2026-09-03,
BSE,STOCK,AGARWALEYE,Dr. Agarwal's Health Care,,544350,A,AGARWALEYE.BO,AGARWALEYE.BO,data_symbol,250,2026-09-04,
BSE,STOCK,AGI,AGI Greenpac,,500187,B,AGI.BO,AGI.BO,data_symbol,250,2026-09-04,
BSE,STOCK,AGIIL,AGI Infra,,539042,B,AGIIL.BO,AGIIL.BO,data_symbol,250,2026-09-04,
BSE,STOCK,AGIOPAPER,Agio Paper & Industries,,516020,X,AGIOPAPER.BO,AGIOPAPER.BO,data_symbol,249,2026-09-03,
BSE,STOCK,AGL,Allcargo Global,,544602,B,AGL.BO,AGL.BO,data_symbol,46,2026-09-04,
BSE,STOCK,AGOL,Ashapuri Gold Ornament,,542579,B,AGOL.BO,AGOL.BO,data_symbol,250,2026-09-04,
BSE,STOCK,AGRIBIO,Agribio Spirits,,539546,X,AGRIBIO.BO,AGRIBIO.BO,data_symbol,250,2026-09-04,
BSE,STOCK,AGRITECH,Agri-Tech,,537292,B,AGRITECH.BO,AGRITECH.BO,data_symbol,251,2026-09-04,
BSE,STOCK,AGSTRA,AGS Transact Technologies,,543451,Z,AGSTRA.BO,AGSTRA.BO,data_symbol,251,2026-09-04,
BSE,STOCK,AHASOLAR,Ahasolar Technologies,,543941,M,AHASOLAR.BO,AHASOLAR.BO,data_symbol,251,2026-09-04,
BSE,STOCK,AHCL,Anlon Healthcare,,544497,B,AHCL.BO,AHCL.BO,data_symbol,251,2026-09-04,
BSE,STOCK,AHLEAST,Asian Hotels (East),,533227,B,AHLEAST.BO,AHLEAST.BO,data_symbol,251,2026-09-04,
BSE,STOCK,AHLUCONT,Ahluwalia Contracts,,532811,A,AHLUCONT.BO,AHLUCONT.BO,data_symbol,250,2026-09-04,
BSE,STOCK,AHLWEST,Asian Hotels (West),,533221,T,AHLWEST.BO,AHLWEST.BO,data_symbol,251,2026-09-03,
BSE,STOCK,AHMDSTE,Ahmedabad Steelcraft,,522273,X,AHMDSTE.BO,AHMDSTE.BO,data_symbol,250,2026-09-04,
BSE,STOCK,AICHAMP,AI Champdany Industries,,532806,XT,AICHAMP.BO,AICHAMP.BO,data_symbol,250,2026-09-04,
BSE,STOCK,AIHL,Ambassador Intra Holdings,,542524,X,AIHL.BO,AIHL.BO,data_symbol,251,2026-09-04,
BSE,STOCK,AIIL,Authum Inv & Infr,,539177,A,AIIL.BO,AIIL.BO,data_symbol,250,2026-09-04,
BSE,STOCK,AIKPIPES,AIK Pipes and Polymers,,544072,M,AIKPIPES.BO,AIKPIPES.BO,data_symbol,252,2026-09-04,
BSE,STOCK,AIMCOPEST,Aimco Pesticides,,524288,X,AIMCOPEST.BO,AIMCOPEST.BO,data_symbol,250,2026-09-04,
BSE,STOCK,AIML,Alliance Integrated Metaliks,,534064,XT,AIML.BO,AIML.BO,data_symbol,250,2026-09-04,
BSE,STOCK,AIRAN,Airan,,543811,B,AIRAN.BO,AIRAN.BO,data_symbol,250,2026-09-04,
