exchange,symbol,name,data_symbol,avg_volume,start_date_requested,end_date_requested,rows,first_date,last_date,historical_status,error,downloaded_at
NSE,PNB,Punjab National Bank,PNB.NS,13673443.25,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:01
NSE,GMRAIRPORT,GMR AIRPORTS LIMITED,GMRAIRPORT.NS,13487501.85,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:02
NSE,SYMBIOTEC,Symbiotec Pharmalab Limited,SYMBIOTEC.NS,13340793.0,2021-01-01,2026-09-06,4,2026-09-01,2026-09-04,INSUFFICIENT_HISTORY,,2026-09-05T17:13:02
NSE,GAJA,Gaja Alternative Asset Management Limited,GAJA.NS,12993773.714285716,2021-01-01,2026-09-06,8,2026-08-26,2026-09-04,INSUFFICIENT_HISTORY,,2026-09-05T17:13:03
NSE,CANBK,Canara Bank,CANBK.NS,12876040.6,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:03
NSE,LICI,Life Insurance Corporation Of India,LICI.NS,12738024.35,2021-01-01,2026-09-06,1069,2022-05-17,2026-09-04,PASS,,2026-09-05T17:13:03
NSE,VEDL,Vedanta Limited,VEDL.NS,12711047.5,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:04
NSE,MOTHERSON,Samvardhana Motherson International Limited,MOTHERSON.NS,12678515.65,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:04
NSE,JIOFIN,Jio Financial Services Limited,JIOFIN.NS,12337849.95,2021-01-01,2026-09-06,755,2023-08-21,2026-09-04,PASS,,2026-09-05T17:13:05
NSE,IDBI,IDBI Bank Limited,IDBI.NS,12240207.9,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:05
NSE,MRPL,Mangalore Refinery and Petrochemicals Limited,MRPL.NS,12238627.65,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:05
NSE,KOTAKBANK,Kotak Mahindra Bank Limited,KOTAKBANK.NS,11750107.5,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:06
NSE,ONGC,Oil & Natural Gas Corporation Limited,ONGC.NS,11570474.0,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:06
NSE,WELSPUNLIV,Welspun Living Limited,WELSPUNLIV.NS,11062022.95,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:07
NSE,MANALIPETC,Manali Petrochemicals Limited,MANALIPETC.NS,10665841.15,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:07
NSE,EMIL,Electronics Mart India Limited,EMIL.NS,10652783.0,2021-01-01,2026-09-06,964,2022-10-17,2026-09-04,PASS,,2026-09-05T17:13:08
NSE,RELIANCE,Reliance Industries Limited,RELIANCE.NS,10498450.45,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:08
NSE,EPL,EPL Limited,EPL.NS,10482680.45,2021-01-01,2026-09-06,1406,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:08
NSE,PFC,Power Finance Corporation Limited,PFC.NS,10441636.05,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:09
NSE,UNIONBANK,Union Bank of India,UNIONBANK.NS,10193458.6,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:09
NSE,WEL,Wonder Electricals Limited,WEL.NS,10047551.4,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:10
NSE,COALINDIA,Coal India Limited,COALINDIA.NS,9909513.4,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:10
NSE,VIYASH,Viyash Scientific Limited,VIYASH.NS,9901645.0,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:11
NSE,KALYANKJIL,Kalyan Jewellers India Limited,KALYANKJIL.NS,9641737.15,2021-01-01,2026-09-06,1349,2021-03-26,2026-09-04,PASS,,2026-09-05T17:13:11
NSE,TMPV,Tata Motors Passenger Vehicles Limited,TMPV.NS,9606026.5,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:12
NSE,PAISALO,Paisalo Digital Limited,PAISALO.NS,9546441.7,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:12
NSE,RBA,Restaurant Brands Asia Limited,RBA.NS,9366561.75,2021-01-01,2026-09-06,1406,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:13
NSE,BEL,Bharat Electronics Limited,BEL.NS,9342155.05,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:13
NSE,OMAXE,Omaxe Limited,OMAXE.NS,9103296.7,2021-01-01,2026-09-06,1406,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:13
NSE,ICICIBANK,ICICI Bank Limited,ICICIBANK.NS,8773986.6,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:14
NSE,SAMMAANCAP,Sammaan Capital Limited,SAMMAANCAP.NS,8605150.1,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:14
NSE,NTPC,NTPC Limited,NTPC.NS,8595838.6,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:15
NSE,TMCV,Tata Motors Limited,TMCV.NS,8543333.9,2021-01-01,2026-09-06,206,2025-11-12,2026-09-04,INSUFFICIENT_HISTORY,,2026-09-05T17:13:15
NSE,SBIN,State Bank of India,SBIN.NS,8345061.2,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:15
NSE,DHOOTTRANS,Dhoot Transmission Limited,DHOOTTRANS.NS,8297863.333333333,2021-01-01,2026-09-06,15,2026-08-17,2026-09-04,INSUFFICIENT_HISTORY,,2026-09-05T17:13:16
NSE,POWERGRID,Power Grid Corporation of India Limited,POWERGRID.NS,8237231.9,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:16
NSE,HSCL,Himadri Speciality Chemical Limited,HSCL.NS,8126699.15,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:17
NSE,NHPC,NHPC Limited,NHPC.NS,8075070.65,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:17
NSE,RATNAVEER,Ratnaveer Precision Engineering Limited,RATNAVEER.NS,8024127.9,2021-01-01,2026-09-06,739,2023-09-11,2026-09-04,PASS,,2026-09-05T17:13:18
NSE,BHEL,Bharat Heavy Electricals Limited,BHEL.NS,7984987.35,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:18
NSE,INFY,Infosys Limited,INFY.NS,7950013.6,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:19
NSE,WIPRO,Wipro Limited,WIPRO.NS,7943433.35,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:19
NSE,IOC,Indian Oil Corporation Limited,IOC.NS,7839309.95,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:19
NSE,BANKBARODA,Bank of Baroda,BANKBARODA.NS,7756614.45,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:20
NSE,BLEL,Behari Lal Engineering Limited,BLEL.NS,7565297.25,2021-01-01,2026-09-06,13,2026-08-19,2026-09-04,INSUFFICIENT_HISTORY,,2026-09-05T17:13:21
NSE,NATIONALUM,National Aluminium Company Limited,NATIONALUM.NS,7525429.5,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:21
NSE,VAML,Vedanta Aluminium Metal Limited,VAML.NS,7396903.75,2021-01-01,2026-09-06,60,2026-06-15,2026-09-04,INSUFFICIENT_HISTORY,,2026-09-05T17:13:21
NSE,BALRAMCHIN,Balrampur Chini Mills Limited,BALRAMCHIN.NS,7327002.1,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:22
NSE,NIACL,The New India Assurance Company Limited,NIACL.NS,7306488.9,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:22
NSE,GAIL,GAIL (India) Limited,GAIL.NS,7245477.2,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:23
NSE,CGCL,Capri Global Capital Limited,CGCL.NS,7237975.05,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:23
NSE,LLOYDSENGG,LLOYDS ENGINEERING WORKS LIMITED,LLOYDSENGG.NS,7205638.5,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:24
NSE,HINDZINC,Hindustan Zinc Limited,HINDZINC.NS,6969352.65,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:24
NSE,IRFC,Indian Railway Finance Corporation Limited,IRFC.NS,6913939.0,2021-01-01,2026-09-06,1388,2021-01-29,2026-09-04,PASS,,2026-09-05T17:13:25
NSE,JAYNECOIND,Jayaswal Neco Industries Limited,JAYNECOIND.NS,6846549.35,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:25
NSE,BHARTIARTL,Bharti Airtel Limited,BHARTIARTL.NS,6816347.8,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:25
NSE,VIKRAMSOLR,Vikram Solar Limited,VIKRAMSOLR.NS,6693669.15,2021-01-01,2026-09-06,258,2025-08-26,2026-09-04,INSUFFICIENT_HISTORY,,2026-09-05T17:13:26
BSE,GROWW,Groww,GROWW.BO,6619527.9,2021-01-01,2026-09-06,204,2025-11-12,2026-09-04,INSUFFICIENT_HISTORY,,2026-09-05T17:13:26
NSE,RECLTD,REC Limited,RECLTD.NS,6535371.05,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:27
NSE,ANGELONE,Angel One Limited,ANGELONE.NS,6534716.95,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:27
NSE,MANAPPURAM,Manappuram Finance Limited,MANAPPURAM.NS,6394868.35,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:28
NSE,MARKSANS,Marksans Pharma Limited,MARKSANS.NS,6376974.0,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:28
NSE,ZAGGLE,Zaggle Prepaid Ocean Services Limited,ZAGGLE.NS,6186928.4,2021-01-01,2026-09-06,732,2023-09-22,2026-09-04,PASS,,2026-09-05T17:13:29
NSE,AUGMONT,Augmont Enterprises Limited,AUGMONT.NS,6148846.4,2021-01-01,2026-09-06,5,2026-08-31,2026-09-04,INSUFFICIENT_HISTORY,,2026-09-05T17:13:29
NSE,PARADEEP,Paradeep Phosphates Limited,PARADEEP.NS,6143788.7,2021-01-01,2026-09-06,1061,2022-05-27,2026-09-04,PASS,,2026-09-05T17:13:29
NSE,ABFRL,Aditya Birla Fashion and Retail Limited,ABFRL.NS,6078736.35,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:30
NSE,ASHOKA,Ashoka Buildcon Limited,ASHOKA.NS,6036122.8,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:30
NSE,VBL,Varun Beverages Limited,VBL.NS,6018416.15,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:31
NSE,EDELWEISS,Edelweiss Financial Services Limited,EDELWEISS.NS,5970989.55,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:31
NSE,ENGINERSIN,Engineers India Limited,ENGINERSIN.NS,5969308.75,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:32
NSE,ASTERDM,Aster DM Quality Care Limited,ASTERDM.NS,5839838.7,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:32
NSE,BANKINDIA,Bank of India,BANKINDIA.NS,5684740.0,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:33
NSE,NBCC,NBCC (India) Limited,NBCC.NS,5614064.2,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:33
NSE,TATAPOWER,Tata Power Company Limited,TATAPOWER.NS,5592059.75,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:34
NSE,ROLEXRINGS,Rolex Rings Limited,ROLEXRINGS.NS,5587577.15,2021-01-01,2026-09-06,1259,2021-08-09,2026-09-04,PASS,,2026-09-05T17:13:34
NSE,SUNSHINE,Sunshine Pictures Limited,SUNSHINE.NS,5530247.0,2021-01-01,2026-09-06,9,2026-08-25,2026-09-04,INSUFFICIENT_HISTORY,,2026-09-05T17:13:35
NSE,BANDHANBNK,Bandhan Bank Limited,BANDHANBNK.NS,5459903.1,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:35
NSE,PRSMJOHNSN,Prism Johnson Limited,PRSMJOHNSN.NS,5410998.65,2021-01-01,2026-09-06,1405,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:36
NSE,HINDPETRO,Hindustan Petroleum Corporation Limited,HINDPETRO.NS,5294366.9,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:36
NSE,REDINGTON,Redington Limited,REDINGTON.NS,5256299.65,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:38
NSE,INDUSTOWER,Indus Towers Limited,INDUSTOWER.NS,5210079.2,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-05T17:13:39
NSE,BPCL,Bharat Petroleum Corporation Limited,BPCL.NS,5133945.1,2021-01-01,2026-09-06,0,,,ERROR,RuntimeError: Failed historical download for BPCL.NS (2021-01-01 -> 2026-09-06): No historical daily data returned for BPCL.NS between 2021-01-01 and 2026-09-06.,2026-09-05T17:13:39
NSE,DEVYANI,Devyani International Limited,DEVYANI.NS,5122978.85,2021-01-01,2026-09-06,0,,,ERROR,RuntimeError: Failed historical download for DEVYANI.NS (2021-01-01 -> 2026-09-06): No historical daily data returned for DEVYANI.NS between 2021-01-01 and 2026-09-06.,2026-09-05T20:13:45
NSE,TEJASNET,Tejas Networks Limited,TEJASNET.NS,5109129.85,2021-01-01,2026-09-06,0,,,ERROR,RuntimeError: Failed historical download for TEJASNET.NS (2021-01-01 -> 2026-09-06): No historical daily data returned for TEJASNET.NS between 2021-01-01 and 2026-09-06.,2026-09-05T20:13:48
NSE,CORDELIA,Waterways Leisure Tourism Limited,CORDELIA.NS,5082181.5,2021-01-01,2026-09-06,0,,,ERROR,RuntimeError: Failed historical download for CORDELIA.NS (2021-01-01 -> 2026-09-06): No historical daily data returned for CORDELIA.NS between 2021-01-01 and 2026-09-06.,2026-09-05T20:13:50
NSE,IOLCP,IOL Chemicals and Pharmaceuticals Limited,IOLCP.NS,5074319.55,2021-01-01,2026-09-06,0,,,ERROR,RuntimeError: Failed historical download for IOLCP.NS (2021-01-01 -> 2026-09-06): No historical daily data returned for IOLCP.NS between 2021-01-01 and 2026-09-06.,2026-09-07T11:17:33
NSE,BSE,BSE Limited,BSE.NS,5041619.35,2021-01-01,2026-09-06,0,,,ERROR,RuntimeError: Failed historical download for BSE.NS (2021-01-01 -> 2026-09-06): No historical daily data returned for BSE.NS between 2021-01-01 and 2026-09-06.,2026-09-07T11:17:37
NSE,ATHERENERG,Ather Energy Limited,ATHERENERG.NS,4998667.95,2021-01-01,2026-09-06,0,,,ERROR,RuntimeError: Failed historical download for ATHERENERG.NS (2021-01-01 -> 2026-09-06): No historical daily data returned for ATHERENERG.NS between 2021-01-01 and 2026-09-06.,2026-09-07T11:17:40
NSE,PAYTM,One 97 Communications Limited,PAYTM.NS,4873502.1,2021-01-01,2026-09-06,0,,,ERROR,RuntimeError: Failed historical download for PAYTM.NS (2021-01-01 -> 2026-09-06): No historical daily data returned for PAYTM.NS between 2021-01-01 and 2026-09-06.,2026-09-07T11:17:43
NSE,SHADOWFAX,Shadowfax Technologies Limited,SHADOWFAX.NS,4856811.1,2021-01-01,2026-09-06,0,,,ERROR,RuntimeError: Failed historical download for SHADOWFAX.NS (2021-01-01 -> 2026-09-06): No historical daily data returned for SHADOWFAX.NS between 2021-01-01 and 2026-09-06.,2026-09-07T11:17:46
NSE,BAJFINANCE,Bajaj Finance Limited,BAJFINANCE.NS,4829751.15,2021-01-01,2026-09-06,0,,,ERROR,RuntimeError: Failed historical download for BAJFINANCE.NS (2021-01-01 -> 2026-09-06): No historical daily data returned for BAJFINANCE.NS between 2021-01-01 and 2026-09-06.,2026-09-07T11:17:48
NSE,FEDERALBNK,The Federal Bank  Limited,FEDERALBNK.NS,4799062.3,2021-01-01,2026-09-06,0,,,ERROR,RuntimeError: Failed historical download for FEDERALBNK.NS (2021-01-01 -> 2026-09-06): No historical daily data returned for FEDERALBNK.NS between 2021-01-01 and 2026-09-06.,2026-09-07T11:17:51
NSE,AXISBANK,Axis Bank Limited,AXISBANK.NS,4789336.45,2021-01-01,2026-09-06,0,,,ERROR,RuntimeError: Failed historical download for AXISBANK.NS (2021-01-01 -> 2026-09-06): No historical daily data returned for AXISBANK.NS between 2021-01-01 and 2026-09-06.,2026-09-07T11:17:54
NSE,LTF,L&T Finance Limited,LTF.NS,4674753.9,2021-01-01,2026-09-06,0,,,ERROR,RuntimeError: Failed historical download for LTF.NS (2021-01-01 -> 2026-09-06): No historical daily data returned for LTF.NS between 2021-01-01 and 2026-09-06.,2026-09-07T11:17:56
NSE,NYKAA,FSN E-Commerce Ventures Limited,NYKAA.NS,4641148.15,2021-01-01,2026-09-06,0,,,ERROR,RuntimeError: Failed historical download for NYKAA.NS (2021-01-01 -> 2026-09-06): No historical daily data returned for NYKAA.NS between 2021-01-01 and 2026-09-06.,2026-09-07T11:17:58
NSE,ADANIENSOL,Adani Energy Solutions Limited,ADANIENSOL.NS,4617441.0,2021-01-01,2026-09-06,0,,,ERROR,RuntimeError: Failed historical download for ADANIENSOL.NS (2021-01-01 -> 2026-09-06): No historical daily data returned for ADANIENSOL.NS between 2021-01-01 and 2026-09-06.,2026-09-07T11:18:00
NSE,RAIN,Rain Industries Limited,RAIN.NS,4568127.45,2021-01-01,2026-09-06,1407,2021-01-01,2026-09-04,PASS,,2026-09-07T11:18:03
