trades,wins,losses,win_rate_pct,avg_net_pct,median_net_pct,avg_gross_pct,avg_winner_pct,avg_loser_pct,profit_factor,expectancy_pct,compounded_return_pct,max_drawdown_pct,avg_holding_days,median_holding_days,target_exits,stop_exits,time_exits,symbol,exchange
7,4,3,57.14285714285714,1.5855357142857243,4.797500000000011,1.7355357142857244,4.800000000000011,-2.7004166666666585,2.3700046289153036,1.5855357142857243,11.116376713447051,-2.7012499999999995,3.4285714285714284,2.0,4,3,0,KALYANKJIL.BO,BSE
7,4,3,57.14285714285714,1.5837500000000113,4.797500000000006,1.7337500000000117,4.79750000000001,-2.701249999999986,2.3680394878914255,1.5837500000000113,11.10291982640268,-2.7012499999999995,5.142857142857143,4.0,4,3,0,UJJIVANSFB.NS,NSE
9,5,4,55.55555555555556,1.2768859027816841,3.0869731250350725,1.4268859027816843,4.458394625007022,-2.6999999999999886,2.064071585651408,1.2768859027816841,11.46050312291198,-5.329532484374965,3.7777777777777777,3.0,4,4,1,ZEEL.BO,BSE
9,5,4,55.55555555555556,1.1888940379579083,2.2950463416211035,1.3388940379579084,4.300009268324226,-2.69999999999999,1.9907450316315938,1.1888940379579083,10.604249854045777,-5.329532484374977,4.111111111111111,3.0,4,4,1,ZEEL.NS,NSE
2,1,1,50.0,1.0518750000000037,1.0518750000000037,1.2018750000000038,4.802500000000007,-2.69875,1.779527559055121,1.0518750000000037,1.9741425312499894,0.0,1.5,1.5,1,1,0,TENNIND.BO,BSE
2,1,1,50.0,1.0506250000000117,1.0506250000000117,1.2006250000000118,4.8025,-2.701249999999977,1.7778806108283356,1.0506250000000117,1.971522468750031,-2.701249999999966,2.0,2.0,1,1,0,PINELABS.BO,BSE
4,2,2,50.0,1.0500000000000123,1.049375000000005,1.2000000000000122,4.8000000000000105,-2.699999999999986,1.777777777777791,1.0500000000000123,3.9796246852685124,-2.701249999999955,14.5,12.5,2,2,0,TATASTEEL.NS,NSE
4,2,2,50.0,1.0500000000000096,1.0493750000000064,1.2000000000000097,4.800000000000009,-2.6999999999999895,1.777777777777788,1.0500000000000096,3.979624685268468,-5.3271000156249855,12.0,11.0,2,2,0,500470.BO,BSE
4,2,2,50.0,1.0500000000000034,1.049375000000005,1.2000000000000033,4.800000000000006,-2.6999999999999993,1.7777777777777806,1.0500000000000034,3.979624685268446,-2.6987500000000053,4.0,2.0,2,2,0,JINDWORLD.NS,NSE
2,1,1,50.0,1.049375000000016,1.049375000000016,1.199375000000016,4.797500000000018,-2.698749999999986,1.7776748494673618,1.049375000000016,1.9692774687500192,-2.698749999999994,6.0,6.0,1,1,0,ADANIPOWER.NS,NSE
2,1,1,50.0,1.0493750000000128,1.0493750000000128,1.199375000000013,4.797500000000012,-2.698749999999986,1.7776748494673595,1.0493750000000128,1.9692774687500192,-2.698749999999994,6.0,6.0,1,1,0,ADANIPOWER.BO,BSE
4,2,2,50.0,1.0493750000000093,1.0493750000000122,1.1993750000000094,4.797500000000012,-2.6987499999999933,1.7776748494673549,1.0493750000000093,3.9773354749893075,-5.324667484374979,1.5,1.5,2,2,0,ASTERDM.BO,BSE
4,2,2,50.0,1.049375000000007,1.0493750000000068,1.1993750000000072,4.797500000000011,-2.698749999999997,1.7776748494673522,1.049375000000007,3.9773354749893075,-2.698749999999994,7.0,7.5,2,2,0,SAIL.NS,NSE
6,3,3,50.0,1.0493750000000068,1.0493750000000095,1.1993750000000072,4.797500000000006,-2.6987499999999915,1.7776748494673535,1.0493750000000068,6.024937715104883,-5.324667484374979,2.0,2.0,3,3,0,SHUKRAPHAR.BO,BSE
4,2,2,50.0,1.048750000000012,1.049375000000005,1.1987500000000124,4.797500000000015,-2.6999999999999913,1.7768518518518632,1.048750000000012,3.9746639436504028,-2.7012499999999884,1.5,1.5,2,2,0,GROWW.NS,NSE
9,4,5,44.44444444444444,0.6329166666666755,-2.698749999999983,0.7829166666666754,4.800000000000007,-2.70074999999999,1.4218272702027288,0.6329166666666755,5.194393321043456,-7.884451726452902,5.888888888888889,4.0,4,5,0,JIOFIN.BO,BSE
7,3,4,42.857142857142854,0.5153571428571585,-2.698749999999989,0.6653571428571584,4.802500000000016,-2.699999999999985,1.3340277777777896,0.5153571428571585,3.1730546086599087,-5.3246674843749675,3.4285714285714284,2.0,3,4,0,INOXWIND.NS,NSE
