variant,symbol,exchange,signal_date,entry_date,exit_date,direction,entry_price,stop_loss,target,exit_price,exit_reason,holding_days,gross_pnl_pct,net_pnl_pct,regime,mapped_regime,signal_close,rsi,ema_5,ema_13,ema_26,ema_5_13_signed_pct,ema_13_26_signed_pct,ema_5_26_signed_pct,ema_5_13_abs_pct,ema_13_26_abs_pct,ema_5_26_abs_pct,macd,macd_signal,macd_histogram,macd_histogram_pct,macd_histogram_abs_pct,volume_ratio,extension_pct,extension_abs_pct,ema13_event_age,ema26_event_age,macd_event_age,rsi_event_age,max_event_age,min_event_age,data_symbol
EMA_MACD,HDFCBANK,NSE,2025-02-24,2025-02-25,2025-02-28,SHORT,835.5499877929688,856.4387374877929,793.7724884033203,856.4387374877929,STOP_LOSS,3,-2.439024390243893,-2.5890243902438934,NEUTRAL,NEUTRAL,838.5499877929688,43.10964957627004,847.0186484530865,850.4173735716977,851.2616903541903,-0.39965377286881754,-0.0991841629970766,-0.4984415426163879,0.39965377286881754,0.0991841629970766,0.4984415426163879,-0.9043573610707654,-0.07777358090754259,-0.8265837801632228,-0.09857298815766004,0.09857298815766004,1.0838783799144505,-0.9998198594073557,0.9998198594073557,1.0,1.0,0.0,37.0,37.0,0.0,HDFCBANK.NS
EMA_MACD,HDFCBANK,NSE,2025-03-04,2025-03-05,2025-03-20,LONG,850.9749755859375,829.7006011962891,893.5237243652344,884.375,TIME_EXIT,11,3.924912644001655,3.774912644001655,NEUTRAL,NEUTRAL,855.0,51.48525305149726,853.2997848850259,852.0535649393997,851.8511066647645,0.1462607513079097,0.023766861726327512,0.17006237462476043,0.1462607513079097,0.023766861726327512,0.17006237462476043,0.2950803434150657,-0.21294550077325544,0.5080258441883212,0.05941822739044693,0.05941822739044693,0.8711233725644176,0.19925179228811818,0.19925179228811818,2.0,2.0,2.0,17.0,17.0,2.0,HDFCBANK.NS
EMA_MACD,HDFCBANK,NSE,2026-01-05,2026-01-06,2026-01-20,SHORT,962.7000122070312,986.767512512207,914.5650115966796,931.2000122070312,TIME_EXIT,11,3.3827319144189127,3.232731914418913,BULL,BULL,977.5,40.35343893196446,989.0554620784756,991.2090907083231,992.4810216849703,-0.21727288924564941,-0.12815670515168523,-0.34515114462128954,0.21727288924564941,0.12815670515168523,0.34515114462128954,-1.4450981775491982,-0.8197918552497337,-0.6253063222994645,-0.06396995624546951,0.06396995624546951,1.7506012096465107,-1.168333073475176,1.168333073475176,0.0,0.0,0.0,70.0,70.0,0.0,HDFCBANK.NS
EMA_MACD,HDFCBANK,NSE,2026-06-18,2026-06-19,2026-07-03,LONG,788.7000122070312,768.9825119018554,828.1350128173829,801.0499877929688,TIME_EXIT,11,1.5658647641425103,1.4158647641425106,BEAR,BEAR,799.0,64.84304246631845,783.2481721863196,769.4598273372114,767.297059008867,1.7919512311414674,0.281868450159073,2.0788706264633654,1.7919512311414674,0.281868450159073,2.0788706264633654,2.9902959181908955,-3.6815595091921973,6.671855427383093,0.8350257105610881,0.8350257105610881,1.09284031601447,2.0110902741989847,2.0110902741989847,4.0,3.0,4.0,1.0,4.0,1.0,HDFCBANK.NS
EMA_MACD,HDFCBANK,NSE,2026-07-22,2026-07-23,2026-08-06,SHORT,749.4000244140625,768.135025024414,711.9300231933594,734.2999877929688,TIME_EXIT,11,2.056385247462522,1.9063852474625225,NEUTRAL,NEUTRAL,753.1500244140625,35.7914120439565,776.9965392939407,793.1923311348247,793.4304837611296,-2.041849272258166,-0.030015562948372137,-2.0712519626529122,2.041849272258166,0.030015562948372137,2.0712519626529122,-0.9667642667467362,6.927777915850837,-7.894542182597573,-1.048203137049539,1.048203137049539,0.6929099556566679,-3.0690632034922083,3.0690632034922083,2.0,1.0,4.0,1.0,4.0,1.0,HDFCBANK.NS
CURRENT,HFCL,NSE,2024-12-17,2024-12-18,2024-12-20,SHORT,121.36000061035156,124.39400062561036,115.29200057983398,115.29200057983398,TARGET,3,5.263157894736836,5.113157894736836,NEUTRAL,NEUTRAL,120.9800033569336,38.3285547330725,124.48348774926342,126.58026730180738,127.57979098038264,-1.65648216522136,-0.7834498480476036,-2.4269543062626013,1.65648216522136,0.7834498480476036,2.4269543062626013,-1.1267273312683983,-0.43083873470479694,-0.6958885965636014,-0.575209602623737,0.575209602623737,0.9387319969017135,-2.814416960574399,2.814416960574399,4.0,4.0,3.0,0.0,4.0,0.0,HFCL.NS
CURRENT,HFCL,NSE,2025-05-15,2025-05-16,2025-05-16,LONG,90.8000030517578,88.53000297546384,95.34000320434568,88.53000297546384,STOP_LOSS,1,-2.5000000000000133,-2.650000000000013,NEUTRAL,NEUTRAL,90.08000183105467,63.69123123590299,84.49674924993927,81.86412131272286,81.48817895117212,3.2158507231265725,0.4613458864702413,3.6920328046229813,3.2158507231265725,0.4613458864702413,3.6920328046229813,0.5002781162629901,-0.5472867472200955,1.0475648634830856,1.1629272226790102,1.1629272226790102,2.214544592361527,6.607653703458202,6.607653703458202,2.0,1.0,2.0,0.0,2.0,0.0,HFCL.NS
CURRENT,HFCL,NSE,2025-06-19,2025-06-20,2025-06-20,SHORT,79.37000274658203,81.35425281524658,75.40150260925293,81.35425281524658,STOP_LOSS,1,-2.4390243902439046,-2.5890243902439045,NEUTRAL,NEUTRAL,79.37000274658203,35.51628471384001,82.83843138829279,85.60395910073463,85.9277432633021,-3.230607254026064,-0.37680980585668283,-3.595243814960859,3.230607254026064,0.37680980585668283,3.595243814960859,-0.4757787656370027,0.8690062916133331,-1.344785057250336,-1.6943240654080076,1.6943240654080076,0.6169759215331581,-4.186980105227991,4.186980105227991,3.0,2.0,4.0,0.0,4.0,0.0,HFCL.NS
CURRENT,HFCL,NSE,2026-01-13,2026-01-14,2026-01-14,SHORT,62.68000030517578,64.24700031280517,59.54600028991699,64.24700031280517,STOP_LOSS,1,-2.439024390243893,-2.5890243902438934,BULL,BULL,62.68000030517578,39.19569007274631,64.67389488086671,65.78159683498039,66.71123795835493,-1.6839085814417953,-1.3935300135711377,-3.053972823529442,1.6839085814417953,1.3935300135711377,3.053972823529442,-0.9939622876859175,-0.9247292533424877,-0.06923303434342987,-0.11045474474529154,0.11045474474529154,0.5932940520603095,-3.082997520659312,3.082997520659312,1.0,2.0,0.0,0.0,2.0,0.0,HFCL.NS
CURRENT,HFCL,NSE,2026-03-12,2026-03-13,2026-03-13,LONG,76.0,74.1,79.8,74.1,STOP_LOSS,1,-2.500000000000002,-2.650000000000002,BEAR,BEAR,74.47000122070312,62.74916016341111,71.57360982437658,70.37631016219773,69.70130526117121,1.701282234631808,0.9684250510048042,2.686182928985081,1.701282234631808,0.9684250510048042,2.686182928985081,0.7426401922381132,0.49276474699441475,0.24987544524369842,0.335538392839762,0.335538392839762,3.269392894446379,4.046730915813185,4.046730915813185,1.0,2.0,0.0,0.0,2.0,0.0,HFCL.NS
