trades,wins,losses,win_rate_pct,avg_net_pct,avg_gross_pct,avg_winner_pct,avg_loser_pct,profit_factor,expectancy_pct,compounded_return_pct,max_drawdown_pct,avg_holding_days,target_exits,stop_exits,time_exits,variant,regime_test,exit_reason
24,16,8,66.66666666666666,0.8959572902749519,1.0459572902749519,1.7083798515035,-0.7288878321821441,4.687634437219107,0.8959572902749519,23.565001113874118,-2.319586724225031,11.0,0,0,24,EMA_MACD,BULL_BEAR,TIME_EXIT
54,54,0,100.0,4.957212475633533,5.107212475633532,4.957212475633533,0.0,inf,4.957212475633533,1263.47052911904,0.0,5.537037037037037,54,0,0,EMA_MACD,BULL_ONLY,TARGET
100,0,100,0.0,-2.6268292682926826,-2.476829268292683,0.0,-2.6268292682926826,0.0,-2.6268292682926826,-93.01881419315798,-92.82877677776887,3.44,0,100,0,EMA_MACD,BULL_ONLY,STOP_LOSS
22,14,8,63.63636363636363,0.8074683984456819,0.9574683984456815,1.6853862445187253,-0.7288878321821441,4.046474365030596,0.8074683984456819,19.074054118294725,-2.31958672422502,11.0,0,0,22,EMA_MACD,BULL_ONLY,TIME_EXIT
52,52,0,100.0,4.946153846153852,5.096153846153852,4.946153846153852,0.0,inf,4.946153846153852,1130.9571604168316,0.0,4.326923076923077,52,0,0,EMA_MACD,BEAR_ONLY,TARGET
71,0,71,0.0,-2.6139299209893476,-2.4639299209893477,0.0,-2.6139299209893476,0.0,-2.6139299209893476,-84.74984612307286,-84.34452197869192,3.3943661971830985,0,71,0,EMA_MACD,BEAR_ONLY,STOP_LOSS
2,2,0,100.0,1.8693351003969239,2.0193351003969235,1.8693351003969239,0.0,inf,1.8693351003969239,3.771557984510965,0.0,11.0,0,0,2,EMA_MACD,BEAR_ONLY,TIME_EXIT
109,109,0,100.0,4.992443264123615,5.1424432641236155,4.992443264123615,0.0,inf,4.992443264123615,20139.02929339502,0.0,3.853211009174312,109,0,0,EMA_MACD,NEUTRAL_ONLY,TARGET
230,0,230,0.0,-2.6195121951219487,-2.469512195121949,0.0,-2.6195121951219487,0.0,-2.6195121951219487,-99.77687788478363,-99.77080419597702,2.6695652173913045,0,230,0,EMA_MACD,NEUTRAL_ONLY,STOP_LOSS
29,21,8,72.41379310344827,1.439166986274865,1.5891669862748647,2.274292788832071,-0.7530382454378008,7.9279088503842745,1.439166986274865,50.761892155659226,-1.461473927500756,9.689655172413794,0,0,29,EMA_MACD,NEUTRAL_ONLY,TIME_EXIT
