variant,exchange,symbol,trades,wins,losses,win_rate_pct,avg_net_pct,profit_factor,compounded_return_pct,max_drawdown_pct
CURRENT,BSE,NMDC,12,4,8,33.33333333333333,-0.34277687302236687,0.7824567176567289,-4.550591104003853,-6.095429916708883
CURRENT,BSE,NORTHARC,2,0,2,0.0,-2.6499999999999977,0.0,-5.229774999999992,-2.649999999999997
CURRENT,BSE,NTPC,3,2,1,66.66666666666666,1.2597744360902299,2.426159738970075,3.6835135957707044,0.0
CURRENT,BSE,PFC,10,3,7,30.0,-0.39999999999999847,0.7843665768194077,-4.488207563077628,-10.754943271651019
CURRENT,BSE,PINELABS,2,1,1,50.0,1.1000000000000074,1.830188679245291,2.0714750000000004,-2.649999999999997
CURRENT,BSE,PWL,1,1,0,100.0,4.850000000000002,inf,4.849999999999999,0.0
CURRENT,BSE,RELIANCE,7,2,5,28.57142857142857,-0.17166795824160133,0.8897714681749872,-1.5606920460823015,-5.515673746949334
CURRENT,BSE,RUBICON,2,0,2,0.0,-2.650000000000003,0.0,-5.229775000000004,-2.649999999999997
CURRENT,BSE,SAMMAANCAP,7,2,5,28.57142857142857,-0.5071428571428532,0.7320754716981148,-3.8793610891896035,-12.56611435432966
CURRENT,BSE,SBFC,7,2,5,28.57142857142857,-0.5071428571428555,0.7320754716981142,-3.8793610891896035,-7.741185962499985
CURRENT,BSE,SBIN,4,3,1,75.0,2.066318112401712,4.118970735700688,8.322549708039585,-2.650000000000008
CURRENT,BSE,SHADOWFAX,1,0,1,0.0,-2.6500000000000066,0.0,-2.650000000000008,0.0
CURRENT,BSE,SHUKRAPHAR,5,2,3,40.0,0.34999999999999504,1.2201257861635182,1.4249347944571777,-5.229775000000014
CURRENT,BSE,SWIGGY,2,0,2,0.0,-2.6500000000000004,0.0,-5.229775000000004,-2.649999999999997
CURRENT,BSE,TATASTEEL,4,2,2,50.0,0.8766414233728145,1.87419842588461,3.3680409161962688,-3.9751070056607274
CURRENT,BSE,TENNIND,1,1,0,100.0,4.850000000000012,inf,4.850000000000021,0.0
CURRENT,BSE,TFCILTD,5,2,3,40.0,0.3500000000000048,1.2201257861635253,1.4249347944572222,-7.741185962499997
CURRENT,BSE,UJJIVANSFB,7,3,4,42.857142857142854,0.05208633525300156,1.0343966364878312,-0.014191383029737992,-5.2297749999999805
CURRENT,BSE,URBANCO,2,0,2,0.0,-2.650000000000003,0.0,-5.229775000000004,-2.650000000000008
CURRENT,BSE,VEDL,6,2,4,33.33333333333333,-0.1499999999999934,0.9150943396226447,-1.2628259775958717,-5.229774999999992
CURRENT,BSE,VIYASH,4,1,3,25.0,-0.7749999999999964,0.6100628930817624,-3.266633481681236,-5.229774999999992
CURRENT,BSE,VMM,3,3,0,100.0,4.850000000000005,inf,15.267083412499982,0.0
CURRENT,BSE,WELSPUNLIV,3,0,3,0.0,-2.6499999999999986,0.0,-7.741185962499985,-5.229774999999992
CURRENT,BSE,ZEEL,7,5,2,71.42857142857143,2.1342471947168433,3.8188170496260194,15.541427467924418,-2.650000000000008
CURRENT,NSE,ADANIPOWER,3,1,2,33.33333333333333,-0.15000000000000138,0.9150943396226409,-0.633419087500009,-5.229775000000004
CURRENT,NSE,ASHOKLEY,8,4,4,50.0,0.7355234045320828,1.5551120034204409,5.528312228015553,-5.2297749999999805
CURRENT,NSE,CANBK,5,3,2,60.0,1.850000000000005,2.7452830188679336,9.23887430096395,-5.2297749999999805
CURRENT,NSE,CUPID,7,1,6,14.285714285714285,-1.578571428571428,0.30503144654088066,-10.75494327165103,-8.325570900514656
CURRENT,NSE,ETERNAL,7,1,6,14.285714285714285,-1.578571428571422,0.30503144654088177,-10.754943271650985,-8.325570900514634
CURRENT,NSE,FCL,5,1,4,20.0,-1.1500000000000012,0.4575471698113209,-5.830067694416707,-5.229775000000004
CURRENT,NSE,GMRAIRPORT,6,2,4,33.33333333333333,-0.44868634635478727,0.7460265964029502,-2.950462358605843,-10.186044534493732
CURRENT,NSE,GROWW,3,1,2,33.33333333333333,-0.149999999999998,0.9150943396226425,-0.6334190874999979,-2.649999999999997
CURRENT,NSE,HDFCBANK,5,5,0,100.0,2.953968065800835,inf,15.627481763092987,0.0
CURRENT,NSE,HFCL,5,1,4,20.0,-1.150000000000001,0.4575471698113206,-5.830067694416696,-10.186044534493742
CURRENT,NSE,HINDCOPPER,4,1,3,25.0,-0.7749999999999968,0.610062893081762,-3.266633481681236,-5.229775000000004
CURRENT,NSE,IDBI,8,2,6,25.0,-0.4657252650107121,0.7224894209850076,-4.0483432102347505,-5.995620431893189
CURRENT,NSE,IDFCFIRSTB,3,1,2,33.33333333333333,-0.15000000000000271,0.9150943396226401,-0.633419087500009,-2.650000000000008
CURRENT,NSE,IFCI,4,0,4,0.0,-2.65,0.0,-10.186044534493742,-7.741185962499997
CURRENT,NSE,INOXWIND,7,3,4,42.857142857142854,0.5642857142857148,1.3726415094339628,3.5259269624906775,-5.229775000000004
CURRENT,NSE,ITC,8,3,5,37.5,0.28020424300317454,1.226081081457044,1.88207875297135,-7.085362256731287
CURRENT,NSE,JINDWORLD,5,2,3,40.0,0.35000000000000114,1.2201257861635226,1.4249347944572,-5.229775000000004
CURRENT,NSE,JIOFIN,9,4,5,44.44444444444444,0.47499979411175897,1.3226413695853465,3.7807671049560954,-8.32557090051459
CURRENT,NSE,LENSKART,1,1,0,100.0,4.85,inf,4.849999999999999,0.0
CURRENT,NSE,LICI,5,2,3,40.0,0.3500000000000031,1.2201257861635242,1.4249347944572444,-2.650000000000008
CURRENT,NSE,MAHABANK,3,0,3,0.0,-2.6499999999999986,0.0,-7.741185962499997,-5.229775000000004
CURRENT,NSE,MOREPENLAB,5,2,3,40.0,0.3500000000000081,1.2201257861635282,1.4249347944572666,-5.22977499999997
CURRENT,NSE,MOTHERSON,6,1,5,16.666666666666664,-1.400000000000001,0.36603773584905624,-8.325570900514645,-10.186044534493742
CURRENT,NSE,NMDC,12,5,7,41.66666666666667,0.45270259849688266,1.3361421309314572,4.852177261081159,-5.9636321293528916
CURRENT,NSE,PINELABS,3,2,1,66.66666666666666,2.350000000000005,3.660377358490584,7.0219415375000205,-2.6499999999999746
CURRENT,NSE,PNB,7,2,5,28.57142857142857,-0.5071428571428552,0.7320754716981142,-3.8793610891896146,-5.229775000000025
CURRENT,NSE,PWL,1,1,0,100.0,4.850000000000005,inf,4.849999999999999,0.0
CURRENT,NSE,SAIL,5,2,3,40.0,0.3499999999999989,1.2201257861635206,1.4249347944572222,-5.229775000000014
