exchange,instrument_type,symbol,name,isin,security_id,series,data_symbol,yahoo_symbol,validation_method,data_rows,last_date,validation_error
BSE,STOCK,ASCOM,Ascom Leasing & Investments,,206558,NS,ASCOM.BO,,,0,,ASCOM.BO: Yahoo returned no data | 206558.BO: Yahoo returned no data
BSE,STOCK,ASHALOG,Ashapura Logistics,,211831,NS,ASHALOG.BO,,,0,,ASHALOG.BO: Yahoo returned no data | 211831.BO: Yahoo returned no data
BSE,STOCK,ASHOKLEY,Ashok Leyland,,500477,A,ASHOKLEY.BO,,,0,,ASHOKLEY.BO: Only 2 rows; minimum is 30 | 500477.BO: Yahoo returned no data
BSE,STOCK,ASHWINI,Ashwini Container Movers,,215457,NS,ASHWINI.BO,,,0,,ASHWINI.BO: Yahoo returned no data | 215457.BO: Yahoo returned no data
BSE,STOCK,ASIANPAINT,Asian Paints,,500820,A,ASIANPAINT.BO,,,0,,ASIANPAINT.BO: Only 2 rows; minimum is 30 | 500820.BO: Yahoo returned no data
BSE,STOCK,ASMS,Avio Smart Market Stack,,532694,T,ASMS.BO,,,0,,ASMS.BO: Only 2 rows; minimum is 30 | 532694.BO: Yahoo returned no data
BSE,STOCK,ASPINWALL,Aspinwall & Co,,204739,NS,ASPINWALL.BO,,,0,,ASPINWALL.BO: Yahoo returned no data | 204739.BO: Yahoo returned no data
BSE,STOCK,ASPIRE,Aspire & Innovative Advertising,,211473,NS,ASPIRE.BO,,,0,,ASPIRE.BO: Yahoo returned no data | 211473.BO: Yahoo returned no data
BSE,STOCK,ASUTENT,Asutosh Enterprises,,512433,P,ASUTENT.BO,,,0,,ASUTENT.BO: Yahoo returned no data | 512433.BO: Yahoo returned no data
BSE,STOCK,ATMASTCO,Atmastco,,211171,NS,ATMASTCO.BO,,,0,,ATMASTCO.BO: Yahoo returned no data | 211171.BO: Yahoo returned no data
BSE,STOCK,ATULAUTO,Atul Auto,,531795,B,ATULAUTO.BO,,,0,,ATULAUTO.BO: Only 2 rows; minimum is 30 | 531795.BO: Yahoo returned no data
BSE,STOCK,AUGMONT,Augmont Enterprises,,544888,B,AUGMONT.BO,,,0,,AUGMONT.BO: Only 5 rows; minimum is 30 | 544888.BO: Yahoo returned no data
BSE,STOCK,AURIONPRO,Aurionpro Solutions,,532668,A,AURIONPRO.BO,,,0,,AURIONPRO.BO: Only 2 rows; minimum is 30 | 532668.BO: Yahoo returned no data
BSE,STOCK,AUROIMPEX,Auro Impex  & Chemicals,,210338,NS,AUROIMPEX.BO,,,0,,AUROIMPEX.BO: Yahoo returned no data | 210338.BO: Yahoo returned no data
BSE,STOCK,AUSL,Aditya Ultra Steel,,211974,NS,AUSL.BO,,,0,,AUSL.BO: Yahoo returned no data | 211974.BO: Yahoo returned no data
BSE,STOCK,AVANA,Avana Electrosystems,,215615,NT,AVANA.BO,,,0,,AVANA.BO: Yahoo returned no data | 215615.BO: Yahoo returned no data
BSE,STOCK,AVATAR,AVATAR Industries,,206195,NT,AVATAR.BO,,,0,,AVATAR.BO: Yahoo returned no data | 206195.BO: Yahoo returned no data
