exchange,instrument_type,symbol,name,isin,security_id,series,data_symbol
BSE,STOCK,ADVANIHOTR,Advani Hotels & Resorts,,523269,B,ADVANIHOTR.BO
BSE,STOCK,ADVENTHTL,Advent Hotels International,,544446,B,ADVENTHTL.BO
BSE,STOCK,ADVENZYMES,Advanced Enzyme Tech,,540025,B,ADVENZYMES.BO
BSE,STOCK,ADVIKCA,Advik Capital,,539773,B,ADVIKCA.BO
BSE,STOCK,ADVLIFE,Advance Lifestyles,,521048,X,ADVLIFE.BO
BSE,STOCK,ADVMULT,Advance Multitech,,526331,XT,ADVMULT.BO
BSE,STOCK,ADVPETR-B,Advanced Petrochemicals,,506947,XT,ADVPETR-B.BO
BSE,STOCK,AEGEUS,Aegeus Technologies,,544858,M,AEGEUS.BO
BSE,STOCK,AEGISLOG,Aegis Logistics,,500003,A,AEGISLOG.BO
BSE,STOCK,AEGISVOPAK,Aegis Vopak Terminals,,544407,A,AEGISVOPAK.BO
BSE,STOCK,AEIM,Artificial Electronics Intelligent,,526443,X,AEIM.BO
BSE,STOCK,AEL,Amba Enterprises,,539196,X,AEL.BO
BSE,STOCK,AEONXDIGI,Aeonx Digital Technology,,524594,X,AEONXDIGI.BO
BSE,STOCK,AEPL,Artemis Electricals,,542670,B,AEPL.BO
BSE,STOCK,AEQUS,Aequs,,544634,B,AEQUS.BO
BSE,STOCK,AEROENTER,Aeroflex Enterprises,,511076,B,AEROENTER.BO
BSE,STOCK,AEROFLEX,Aeroflex Industries,,543972,B,AEROFLEX.BO
BSE,STOCK,AERON,Aeron Composite,,211937,NS,AERON.BO
BSE,STOCK,AERONEU,Aeroflex Neu,,543743,B,AERONEU.BO
BSE,STOCK,AEROPLANE,Amir Chand Jagdish Kumar (Exports),,544743,B,AEROPLANE.BO
BSE,STOCK,AERPACE,Aerpace Industries,,534733,XT,AERPACE.BO
BSE,STOCK,AESTHETIK,Aesthetik Engineers,,211871,NS,AESTHETIK.BO
BSE,STOCK,AETHER,Aether Industries,,543534,A,AETHER.BO
BSE,STOCK,AFCOM,Afcom Holdings,,544224,M,AFCOM.BO
BSE,STOCK,AFCONS,Afcons Infrastructure,,544280,A,AFCONS.BO
BSE,STOCK,AFEL,AF Enterprises,,538351,Z,AFEL.BO
BSE,STOCK,AFFLE,Affle 3i,,542752,A,AFFLE.BO
BSE,STOCK,AFFORDABLE,Affordable Robotic & Automation,,541402,B,AFFORDABLE.BO
BSE,STOCK,AFIL,Akme Fintrade,,544200,B,AFIL.BO
BSE,STOCK,AFLTD,Autofurnish,,544767,M,AFLTD.BO
BSE,STOCK,AFSL,Abans Financial Services,,543712,B,AFSL.BO
BSE,STOCK,AGARIND,Agarwal Industrial Corporation,,531921,B,AGARIND.BO
BSE,STOCK,AGARWAL,Agarwal Fortune,,530765,X,AGARWAL.BO
BSE,STOCK,AGARWALEYE,Dr. Agarwal's Health Care,,544350,A,AGARWALEYE.BO
BSE,STOCK,AGARWALFT,Agarwal Float Glass,,209495,NS,AGARWALFT.BO
BSE,STOCK,AGARWALTUF,Agarwal Toughened Glass,,212234,NS,AGARWALTUF.BO
BSE,STOCK,AGI,AGI Greenpac,,500187,B,AGI.BO
BSE,STOCK,AGIIL,AGI Infra,,539042,B,AGIIL.BO
BSE,STOCK,AGIOPAPER,Agio Paper & Industries,,516020,X,AGIOPAPER.BO
BSE,STOCK,AGL,Allcargo Global,,544602,B,AGL.BO
BSE,STOCK,AGNI,Agni Green Power,,208980,NS,AGNI.BO
BSE,STOCK,AGOL,Ashapuri Gold Ornament,,542579,B,AGOL.BO
BSE,STOCK,AGRIBIO,Agribio Spirits,,539546,X,AGRIBIO.BO
BSE,STOCK,AGRITECH,Agri-Tech,,537292,B,AGRITECH.BO
BSE,STOCK,AGROPHOS,Agro Phos,,202972,NS,AGROPHOS.BO
BSE,STOCK,AGSTRA,AGS Transact Technologies,,543451,Z,AGSTRA.BO
BSE,STOCK,AGUL,AG Universal,,210301,NS,AGUL.BO
BSE,STOCK,AGVENTURES,AG Ventures,,506579,X,AGVENTURES.BO
BSE,STOCK,AHASOLAR,Ahasolar Technologies,,543941,M,AHASOLAR.BO
BSE,STOCK,AHCL,Anlon Healthcare,,544497,B,AHCL.BO
BSE,STOCK,AHIMSA,Ahimsa Industries,,206241,NT,AHIMSA.BO
BSE,STOCK,AHLADA,Ahlada Engineers,,202065,NS,AHLADA.BO
BSE,STOCK,AHLEAST,Asian Hotels (East),,533227,B,AHLEAST.BO
BSE,STOCK,AHLUCONT,Ahluwalia Contracts,,532811,A,AHLUCONT.BO
BSE,STOCK,AHLWEST,Asian Hotels (West),,533221,T,AHLWEST.BO
BSE,STOCK,AHMDSTE,Ahmedabad Steelcraft,,522273,X,AHMDSTE.BO
BSE,STOCK,AIAENG,AIA Engineering,,532683,A,AIAENG.BO
BSE,STOCK,AICHAMP,AI Champdany Industries,,532806,XT,AICHAMP.BO
BSE,STOCK,AIHL,Ambassador Intra Holdings,,542524,X,AIHL.BO
BSE,STOCK,AIIL,Authum Inv & Infr,,539177,A,AIIL.BO
BSE,STOCK,AIKPIPES,AIK Pipes and Polymers,,544072,M,AIKPIPES.BO
BSE,STOCK,AILIMITED,Abhishek Integrations,,208056,NS,AILIMITED.BO
BSE,STOCK,AIMCOPEST,Aimco Pesticides,,524288,X,AIMCOPEST.BO
BSE,STOCK,AIML,Alliance Integrated Metaliks,,534064,XT,AIML.BO
