variant,direction,signal_date,entry_date,exit_date,entry_price,stop_loss,target,exit_price,exit_reason,holding_days,gross_pnl_pct,net_pnl_pct,regime,rsi,extension_pct,symbol,exchange,data_symbol
EMA_MACD,LONG,2025-06-30,2025-07-01,2025-07-16,820.3499755859375,799.8412261962891,861.3674743652344,831.5499877929688,TIME_EXIT,11,1.365272449606841,1.215272449606841,BULL,62.862313565191,1.723612962399405,SBIN,BSE,500112.BO
EMA_MACD,LONG,2025-08-12,2025-08-13,2025-08-28,823.4500122070312,802.8637619018555,864.6225128173828,802.8637619018555,STOP_LOSS,11,-2.5,-2.65,NEUTRAL,59.04831853244164,0.8500783863886918,SBIN,BSE,500112.BO
EMA_MACD,SHORT,2025-08-29,2025-09-02,2025-09-16,809.9000244140625,830.147525024414,769.4050231933593,830.147525024414,STOP_LOSS,11,-2.4999999999999916,-2.6499999999999915,BEAR,40.442275425209154,0.597800920614277,SBIN,BSE,500112.BO
EMA_MACD,LONG,2026-05-07,2026-05-08,2026-05-08,1093.449951171875,1066.113702392578,1148.1224487304687,1066.113702392578,STOP_LOSS,1,-2.5000000000000084,-2.6500000000000083,BEAR,53.69826551918824,0.6875470077246834,SBIN,BSE,500112.BO
RSI_ZONE,LONG,2025-06-30,2025-07-01,2025-07-16,820.3499755859375,799.8412261962891,861.3674743652344,831.5499877929688,TIME_EXIT,11,1.365272449606841,1.215272449606841,BULL,62.862313565191,1.723612962399405,SBIN,BSE,500112.BO
RSI_ZONE,LONG,2025-08-14,2025-08-18,2025-08-26,831.3499755859375,810.566226196289,872.9174743652344,810.566226196289,STOP_LOSS,7,-2.500000000000008,-2.650000000000008,NEUTRAL,62.620449001349805,0.8316399444394804,SBIN,BSE,500112.BO
RSI_ZONE,LONG,2025-09-11,2025-09-12,2025-09-22,824.9000244140625,804.2775238037109,866.1450256347657,866.1450256347657,TARGET,7,5.000000000000011,4.85000000000001,NEUTRAL,60.735201036384886,0.9811961945470224,SBIN,BSE,500112.BO
RSI_ZONE,SHORT,2026-05-08,2026-05-11,2026-05-15,1009.9500122070312,1035.198762512207,959.4525115966796,959.4525115966796,TARGET,5,5.000000000000004,4.850000000000004,BEAR,38.023293310435825,4.0646058884032685,SBIN,BSE,500112.BO
EXT_3,LONG,2025-06-30,2025-07-01,2025-07-16,820.3499755859375,799.8412261962891,861.3674743652344,831.5499877929688,TIME_EXIT,11,1.365272449606841,1.215272449606841,BULL,62.862313565191,1.723612962399405,SBIN,BSE,500112.BO
EXT_3,LONG,2025-08-14,2025-08-18,2025-08-26,831.3499755859375,810.566226196289,872.9174743652344,810.566226196289,STOP_LOSS,7,-2.500000000000008,-2.650000000000008,NEUTRAL,62.620449001349805,0.8316399444394804,SBIN,BSE,500112.BO
EXT_3,LONG,2025-09-11,2025-09-12,2025-09-22,824.9000244140625,804.2775238037109,866.1450256347657,866.1450256347657,TARGET,7,5.000000000000011,4.85000000000001,NEUTRAL,60.735201036384886,0.9811961945470224,SBIN,BSE,500112.BO
EXT_3,SHORT,2026-05-13,2026-05-14,2026-05-29,974.0,998.3499999999999,925.3,964.0,TIME_EXIT,11,1.0266940451745379,0.8766940451745379,BEAR,31.435964787071498,2.8766588088995335,SBIN,BSE,500112.BO
RSI_ZONE_EXT_3,LONG,2025-06-30,2025-07-01,2025-07-16,820.3499755859375,799.8412261962891,861.3674743652344,831.5499877929688,TIME_EXIT,11,1.365272449606841,1.215272449606841,BULL,62.862313565191,1.723612962399405,SBIN,BSE,500112.BO
RSI_ZONE_EXT_3,LONG,2025-08-14,2025-08-18,2025-08-26,831.3499755859375,810.566226196289,872.9174743652344,810.566226196289,STOP_LOSS,7,-2.500000000000008,-2.650000000000008,NEUTRAL,62.620449001349805,0.8316399444394804,SBIN,BSE,500112.BO
RSI_ZONE_EXT_3,LONG,2025-09-11,2025-09-12,2025-09-22,824.9000244140625,804.2775238037109,866.1450256347657,866.1450256347657,TARGET,7,5.000000000000011,4.85000000000001,NEUTRAL,60.735201036384886,0.9811961945470224,SBIN,BSE,500112.BO
RSI_ZONE_EXT_3,SHORT,2026-05-13,2026-05-14,2026-05-29,974.0,998.3499999999999,925.3,964.0,TIME_EXIT,11,1.0266940451745379,0.8766940451745379,BEAR,31.435964787071498,2.8766588088995335,SBIN,BSE,500112.BO
RSI_ZONE_NO_NEUTRAL,LONG,2025-06-30,2025-07-01,2025-07-16,820.3499755859375,799.8412261962891,861.3674743652344,831.5499877929688,TIME_EXIT,11,1.365272449606841,1.215272449606841,BULL,62.862313565191,1.723612962399405,SBIN,BSE,500112.BO
RSI_ZONE_NO_NEUTRAL,LONG,2025-09-12,2025-09-15,2025-09-22,823.2999877929688,802.7174880981445,864.4649871826173,864.4649871826173,TARGET,6,5.0000000000000115,4.850000000000011,BULL,60.16848766735802,0.611396122652959,SBIN,BSE,500112.BO
RSI_ZONE_NO_NEUTRAL,SHORT,2026-05-08,2026-05-11,2026-05-15,1009.9500122070312,1035.198762512207,959.4525115966796,959.4525115966796,TARGET,5,5.000000000000004,4.850000000000004,BEAR,38.023293310435825,4.0646058884032685,SBIN,BSE,500112.BO
RSI_ZONE_EXT_3_NO_NEUTRAL,LONG,2025-06-30,2025-07-01,2025-07-16,820.3499755859375,799.8412261962891,861.3674743652344,831.5499877929688,TIME_EXIT,11,1.365272449606841,1.215272449606841,BULL,62.862313565191,1.723612962399405,SBIN,BSE,500112.BO
RSI_ZONE_EXT_3_NO_NEUTRAL,LONG,2025-09-12,2025-09-15,2025-09-22,823.2999877929688,802.7174880981445,864.4649871826173,864.4649871826173,TARGET,6,5.0000000000000115,4.850000000000011,BULL,60.16848766735802,0.611396122652959,SBIN,BSE,500112.BO
RSI_ZONE_EXT_3_NO_NEUTRAL,SHORT,2026-05-13,2026-05-14,2026-05-29,974.0,998.3499999999999,925.3,964.0,TIME_EXIT,11,1.0266940451745379,0.8766940451745379,BEAR,31.435964787071498,2.8766588088995335,SBIN,BSE,500112.BO
BASE_CURRENT,LONG,2024-12-03,2024-12-04,2024-12-16,79.01000213623047,77.03475208282471,82.960502243042,82.960502243042,TARGET,9,5.000000000000011,4.85000000000001,NEUTRAL,63.66603362231909,3.6402752486663457,LLOYDSENGG,BSE,LLOYDSENGG.BO
BASE_CURRENT,LONG,2025-01-03,2025-01-06,2025-01-06,85.4800033569336,83.34300327301025,89.75400352478027,83.34300327301025,STOP_LOSS,1,-2.5,-2.65,NEUTRAL,67.10277372414293,7.416925556423276,LLOYDSENGG,BSE,LLOYDSENGG.BO
BASE_CURRENT,LONG,2025-01-07,2025-01-08,2025-01-10,86.0999984741211,83.94749851226807,90.40499839782716,83.94749851226807,STOP_LOSS,3,-2.4999999999999964,-2.6499999999999964,NEUTRAL,62.57108596518687,5.3244107226096276,LLOYDSENGG,BSE,LLOYDSENGG.BO
BASE_CURRENT,SHORT,2025-05-06,2025-05-07,2025-05-07,48.7599983215332,49.97899827957153,46.32199840545654,49.97899827957153,STOP_LOSS,1,-2.4999999999999885,-2.6499999999999884,NEUTRAL,38.44093050076255,4.45899366942743,LLOYDSENGG,BSE,LLOYDSENGG.BO
BASE_CURRENT,LONG,2025-06-26,2025-06-27,2025-06-27,64.51000213623047,62.89725208282471,67.73550224304199,67.73550224304199,TARGET,1,5.0,4.85,BULL,63.07204416896461,6.280521620836529,LLOYDSENGG,BSE,LLOYDSENGG.BO
