trades,wins,losses,win_rate_pct,avg_net_pct,avg_gross_pct,avg_winner_pct,avg_loser_pct,profit_factor,compounded_return_pct,max_drawdown_pct,avg_holding_days,target_exits,stop_exits,time_exits,variant,period,direction
81,27,54,33.33333333333333,-0.31782596806741475,-0.16782596806741468,4.259622042800585,-2.606549973501414,0.8170996309498291,-26.12484235808238,-44.46435801490145,3.728395061728395,23,53,5,EMA_MACD,PERIOD_3,LONG
91,42,49,46.15384615384615,0.7937056161556072,0.9437056161556076,4.740223956955026,-2.5890243902438943,1.5693359712145079,93.00064476697196,-38.44967493306291,3.857142857142857,37,49,5,EMA_MACD,PERIOD_3,SHORT
55,20,35,36.36363636363637,-0.16988915297201063,-0.019889152972010538,4.052989757780788,-2.5829628162593234,0.8966424652823134,-11.664307957137488,-33.593652800346305,4.1454545454545455,16,34,5,EMA_MACD_REGIME,PERIOD_3,LONG
73,32,41,43.83561643835616,0.5727099622567524,0.7227099622567527,4.623682101398206,-2.589024390243894,1.393856121005587,44.58551251327165,-38.44967493306291,4.136986301369863,27,41,5,EMA_MACD_REGIME,PERIOD_3,SHORT
71,35,36,49.29577464788733,0.9988149966780632,1.1488149966780634,4.751881850404075,-2.650000000000005,1.743352880127278,92.9865721780882,-21.969579155721732,2.7183098591549295,34,36,1,CURRENT,PERIOD_4,LONG
39,17,22,43.58974358974359,0.36295584185695723,0.5129558418569575,4.0486021193200425,-2.4850435543645175,1.258917683163124,12.62457614534811,-19.349162158360443,4.948717948717949,11,21,7,CURRENT,PERIOD_4,SHORT
46,26,20,56.52173913043478,1.5144753209596196,1.6644753209596193,4.717917875543947,-2.6500000000000057,2.3144502785687235,93.65819753224775,-17.13870984735553,3.108695652173913,25,20,1,CURRENT_REGIME,PERIOD_4,LONG
26,10,16,38.46153846153847,0.2545323539834782,0.40453235398347837,4.575465305812647,-2.446050740909752,1.1690950511800575,5.165393874982005,-12.51928283652628,4.653846153846154,8,15,3,CURRENT_REGIME,PERIOD_4,SHORT
110,51,59,46.36363636363636,0.7960533160376587,0.9460533160376583,4.78266401498319,-2.650000000000005,1.56006309411028,121.99798563786244,-28.71414379755689,3.1454545454545455,50,59,1,EMA_MACD,PERIOD_4,LONG
68,22,46,32.35294117647059,-0.3023670788379264,-0.15236707883792613,4.300431702576784,-2.503705626471049,0.8214736524273988,-21.524789192942194,-34.13090681445519,4.911764705882353,16,44,8,EMA_MACD,PERIOD_4,SHORT
73,39,34,53.42465753424658,1.309806366632089,1.4598063666320886,4.761945250362631,-2.6500000000000057,2.0612193647518557,146.10980695057134,-30.36170665215443,3.5753424657534247,38,34,1,EMA_MACD_REGIME,PERIOD_4,LONG
